	Gene_ID	H_0	H_4	H_8	H_12	H0PA	H4PA	H8PA	H12PA	U_0	U_4	U_8	U_12	U0PA	U4PA	U8PA	U12PA	M_0	M_4	M_8	M_12	M0PA	M4PA	M8PA	M12PA	H4/H0_P_Value	H8/H0_pvalue	H12/H0_pvalue	U4/U0_pvalue	U8/U0_pvalue	U12/U0_pvalue	M4/M0_pvalue	M8/M0_pvalue	M12/M0_pvalue
UBE2J1	NM_016021	7.397448854	6.732973589	7.041041134	7.109369795	P	P	P	P	8.395858677	8.41758304	8.360447843	8.298917177	P	P	P	P	8.207379273	8.134439361	8.167481257	8.047780975	P	P	P	P	0.0000	0.0041	0.0144	0.9996	0.5659	0.0266	0.8921	1.0000	0.1162
UBE2J2	NM_058167	6.343564609	5.848694387	5.891074364	5.783740206	P	P	P	P	7.263930694	6.962396614	6.573516201	6.495306453	P	P	P	P	7.296571448	7.055414931	6.977029241	6.967095486	P	P	P	P	0.0013	0.0017	0.0002	0.0022	0.0000	0.0000	0.0726	0.0111	0.0069
UBE2K	NM_005339	9.235841748	9.394745336	9.418953089	9.338612495	P	P	P	P	7.499114319	7.31129472	7.524908162	7.253783695	P	P	P	P	10.66752774	10.55397978	10.47367104	10.44508678	P	P	P	P	0.1787	0.0895	0.4343	0.4438	0.9158	0.1064	0.7866	0.2125	0.1080
UBE2L3	NM_003347	6.260838609	5.85677004	5.558190536	5.30584634	P	P	P	P	9.462925809	9.316193053	9.286487706	9.193420504	P	P	P	P	8.783894763	8.942200758	8.879855611	8.771721146	P	P	P	P	0.0154	0.0002	0.0000	0.0148	0.0024	0.0001	0.0383	0.1631	1.0000
UBE2L6	NM_004223	7.049821865	6.783954486	6.671427722	6.242615041	P	P	P	P	10.56984311	10.6167578	10.53240505	10.61515508	P	P	P	P	8.584985302	8.724446858	8.687985568	8.610119542	P	P	P	P	0.5436	0.2444	0.0066	0.9996	0.8680	0.5683	0.2478	0.3626	1.0000
UBE2M	NM_003969	8.198888848	8.349560656	8.372565233	7.995232062	P	P	P	A	10.22039868	10.19497745	10.11160724	10.13790865	P	P	P	P	10.44114311	10.38496707	10.31482591	10.06451325	P	P	P	P	0.8069	0.7075	0.5486	0.9996	0.3984	0.3554	1.0000	1.0000	0.1741
UBE2N	NM_003348	8.9285302	9.156209987	9.004455537	8.790687459	P	P	P	P	7.119522067	7.134693397	7.100076345	7.032544182	P	P	P	P	9.523960337	9.493808545	9.446714977	9.303949893	P	P	P	P	0.0054	0.4245	0.0637	0.9996	0.8979	0.3008	1.0000	0.4812	0.0099
UBE2NL	NM_001012989	5.947814316	5.975436133	6.094268515	5.882160687	A	A	A	A	3.734162215	3.852361081	3.754825503	3.767987829	A	A	A	A	5.445241329	5.528508601	5.409207291	5.407207562	A	A	A	A	0.9555	0.4103	0.8912	0.1407	0.8749	0.5029	1.0000	1.0000	1.0000
UBE2O	NM_022066	7.187156143	7.263543251	7.508599163	7.172573246	P	P	P	P	5.745975007	7.270433631	7.461307769	7.351249406	P	P	P	P	7.021156429	7.313496472	7.368365617	7.305860614	P	P	P	P	0.9308	0.3312	1.0000	0.0023	0.0005	0.0004	0.3400	0.1343	0.1925
UBE2Q1	NM_017582	4.771181911	4.79573443	4.770770156	4.767974279	P	P	P	P	4.858584215	4.848103927	4.82239022	4.865602959	P	P	P	P	5.665064468	5.787823569	5.694032989	5.697492499	P	P	P	P	0.7750	0.9999	1.0000	0.9996	0.5229	0.8332	0.1584	1.0000	0.9278
UBE2Q2	NM_173469	8.544054618	7.752516611	8.720273812	8.243215343	P	P	P	P	8.896993315	8.974609517	9.194532696	9.123945804	P	P	P	P	10.55259301	10.37307375	10.57238356	10.49890765	P	P	P	P	0.0024	0.6586	0.2273	0.9522	0.0435	0.0840	0.1369	1.0000	0.8181
UBE2R2	NM_017811	8.097070117	7.994213551	8.203315797	8.183267746	P	P	P	P	8.586211306	8.431941784	8.706792043	8.836440485	P	P	P	P	9.55300044	9.517328191	9.58851004	9.547737901	P	P	P	P	0.6476	0.6011	0.7062	0.2187	0.2640	0.0128	1.0000	1.0000	1.0000
UBE2T	NM_014176	9.457931775	9.330294929	8.756766546	8.4953338	P	P	P	P	10.12185609	9.81863159	9.359694695	9.211188205	P	P	P	P	10.13097795	10.12238863	9.892888192	9.846801342	P	P	P	P	0.6096	0.0002	0.0000	0.0287	0.0001	0.0000	1.0000	0.0009	0.0002
UBE2U	NM_152489	2.743668764	2.762634064	2.75064989	2.711216782	A	A	A	A	2.739403989	2.756246496	2.729300591	2.808613715	A	A	A	A	2.771167017	2.785079396	2.779758644	2.786251396	A	A	A	A	0.9126	0.9999	0.6560	0.9996	0.8885	0.0879	1.0000	1.0000	1.0000
UBE2V1	NM_021988	10.86726716	10.60389638	10.56268606	10.6058817	P	P	P	P	11.22858185	11.14413567	11.15829059	11.19250238	P	P	P	P	11.41794573	11.39691293	11.36268393	11.36623234	P	P	P	P	0.0116	0.0031	0.0078	0.4775	0.4638	0.5449	1.0000	1.0000	0.9879
UBE2V2	NM_003350	9.948818239	9.7800892	9.769082392	10.00951361	P	P	P	P	11.78082837	11.69815241	11.93947129	11.84380866	P	P	P	P	11.30637148	11.25752098	11.17550228	11.0699671	P	P	P	P	0.1912	0.1329	0.8353	0.4573	0.0401	0.3113	1.0000	0.3175	0.0330
UBE2W	NM_018299	3.177201604	3.452534657	3.24398331	3.184895932	P	P	P	P	6.396158894	6.076461468	6.068447665	5.924971849	P	P	P	P	4.722069265	4.875960988	4.711318164	4.702620739	P	P	P	P	0.0013	0.5226	1.0000	0.2225	0.1262	0.0212	0.8363	1.0000	1.0000
UBE2Z	NM_023079	9.804077475	9.902827153	9.899551858	9.753372242	P	P	P	P	10.03304843	9.951446075	10.02794444	10.11618258	P	P	P	P	10.95917878	10.99814816	11.05528398	11.02458447	P	P	P	P	0.1560	0.1499	0.5775	0.5574	0.9660	0.2464	1.0000	0.4700	0.6809
UBE3A	NM_000462	8.359300561	8.379753533	8.456135588	8.4606356	P	P	P	P	9.09022252	9.023951346	9.077230337	9.065399496	P	P	P	P	9.479234286	9.331678418	9.305229405	9.214770648	P	P	P	P	0.9698	0.6580	0.5835	0.5091	0.8932	0.6078	0.4166	0.1855	0.0290
UBE3B	NM_130466	2.822242182	2.746860813	2.733922115	2.742820334	P	P	P	P	6.224047279	6.28620405	6.39001873	6.479110705	P	P	P	P	6.1487588	6.130281377	6.185385056	6.243550902	P	P	P	P	0.9013	0.8942	0.8648	0.8265	0.0800	0.0077	1.0000	1.0000	0.3771
UBE3C	NM_014671	6.825780689	6.6804944	7.019448504	6.997805949	P	P	P	P	8.779661348	8.746031583	8.638747591	8.476638195	P	P	P	P	9.763775472	9.59501216	9.53485412	9.48860169	P	P	P	P	0.3805	0.1584	0.2166	0.9996	0.3839	0.0252	0.7900	0.3829	0.1937
UBE4A	NM_004788	9.420122531	9.154922399	9.253544089	9.245083136	P	P	P	P	8.765663598	8.792103947	8.828272919	8.72247607	P	P	P	P	10.54426603	10.50387667	10.53858982	10.50707339	P	P	P	P	0.0197	0.1365	0.1059	0.9996	0.8442	0.6723	1.0000	1.0000	1.0000
UBE4B	NM_006048	7.078692784	5.664908648	5.694508139	6.070785143	P	P	P	P	6.700756438	6.739003304	6.636458624	6.565462696	P	P	P	P	7.690659181	7.747181006	7.953023624	7.867472333	P	P	P	P	0.0000	0.0000	0.0000	0.9996	0.8656	0.3346	1.0000	0.1508	0.3413
UBFD1	NM_019116	8.920002227	9.054873037	8.900582759	9.086473577	P	P	P	P	7.412898963	7.429063003	7.476164611	7.437640091	P	P	P	P	5.932088074	6.161855522	6.282647626	6.237137882	P	P	P	P	0.5285	0.9999	0.3125	0.9996	0.6521	0.7201	0.1136	0.0092	0.0134
UBIAD1	NM_013319	7.401591007	7.581952234	7.405480047	7.127489303	P	P	P	P	4.461406786	4.350657862	4.194847991	4.160032304	A	A	A	A	7.001356064	6.793731084	6.817779469	6.624093062	P	A	A	A	0.4434	0.9999	0.1247	0.7734	0.0880	0.0385	0.8646	0.8097	0.1855
UBL3	NM_007106	6.180782928	5.861751914	6.533828466	6.702396914	P	P	P	P	7.188801474	7.276695824	7.366704875	7.491482696	P	P	P	P	7.203671368	7.312298925	7.513391299	7.580211372	P	P	P	P	0.0261	0.0108	0.0005	0.5837	0.0640	0.0031	0.8259	0.0410	0.0116
UBL4A	NM_014235	7.393977522	6.967385137	7.103379129	6.859362691	A	A	A	A	8.760182545	8.440351751	8.216692024	8.216627079	P	P	P	P	9.2593825	9.133144028	9.09489597	9.100056272	P	P	P	P	0.0297	0.1343	0.0049	0.0176	0.0003	0.0002	0.7952	0.4179	0.3683
UBL5	NM_024292	8.497929671	8.364730288	8.184241166	7.880899023	P	P	P	P	9.998117559	9.877139922	9.94303949	10.15715825	P	P	P	P	10.33530148	10.53670411	10.39824425	10.57172628	P	P	P	P	0.8515	0.2314	0.0099	0.7548	0.8731	0.2523	0.5150	1.0000	0.1981
UBL7	NM_032907	5.537406834	4.73528124	4.643652346	4.529370676	P	A	A	A	8.443774683	8.414746314	8.348961632	8.283317667	P	P	P	P	6.530186271	6.513730839	6.405354287	6.40583217	P	P	P	P	0.0237	0.0092	0.0036	0.9996	0.6087	0.1589	1.0000	0.8861	0.7819
UBLCP1	NM_145049	6.372278005	5.911793358	5.915154494	5.950036032	P	P	P	P	8.544628101	8.268351497	8.282090359	7.757592988	P	P	P	P	9.868271948	9.791274344	9.426160449	9.079102569	P	P	P	P	0.0020	0.0014	0.0021	0.1646	0.1138	0.0002	1.0000	0.0594	0.0024
UBN1	NM_016936	7.631602056	7.484451748	7.460343775	7.422690323	P	P	P	P	7.242665765	7.583841926	7.520563059	7.583239772	P	P	P	P	8.704552936	8.64583367	8.555041548	8.575802691	P	P	P	P	0.2220	0.1157	0.0453	0.0330	0.0408	0.0105	1.0000	0.5235	0.5475
UBOX5	NM_014948	3.579820754	3.807237401	3.591275057	3.585874517	A	A	A	A	2.361515741	2.365810598	2.36117259	2.375067452	A	A	A	A	2.507908265	2.502677743	2.502998819	2.499341043	A	A	A	A	0.0001	0.9999	1.0000	0.9996	0.9910	0.3616	1.0000	1.0000	1.0000
UBP1	NM_014517	9.510592981	9.488425938	9.440536966	9.111880999	P	P	P	P	8.458969098	8.208680914	8.159164914	7.998060379	P	P	P	P	9.649247968	9.82139656	9.624461235	9.467590205	P	P	P	P	0.9776	0.9999	0.0159	0.2268	0.0754	0.0070	0.6714	1.0000	0.3837
UBQLN1	NM_013438	9.419943643	9.38759483	9.56454236	9.34498748	P	P	P	P	9.737920678	9.715204744	9.574873556	9.301162255	P	P	P	P	9.950999224	9.842656434	9.694142655	9.581499152	P	P	P	P	0.9357	0.3304	0.7750	0.9996	0.0565	0.0001	1.0000	0.1967	0.0402
UBQLN2	NM_013444	7.536178777	7.739471486	7.681379126	7.432204268	P	P	P	P	8.956047668	8.76483096	8.748661378	8.443437128	P	P	P	P	10.69273936	10.93742622	10.87559902	10.81669808	P	P	P	P	0.4790	0.7204	0.8569	0.4409	0.2518	0.0045	0.2099	0.3050	0.5263
UBQLN3	NM_017481	1.972298309	1.974833869	1.971867216	1.974732501	A	A	A	A	1.983947659	1.986692683	1.979264337	1.991669504	A	A	A	A	1.922841837	1.925885477	1.922634057	1.920598781	A	A	A	A	0.9605	0.9999	1.0000	0.9996	0.8845	0.5714	1.0000	1.0000	1.0000
UBQLN4	NM_020131	7.621798305	7.378772886	7.209143353	7.150248225	A	A	A	A	6.96017574	6.880980811	6.809335445	6.646525423	A	A	A	A	8.320922697	8.422076524	8.261350984	8.167673317	A	A	A	A	0.7657	0.3364	0.2298	0.8712	0.2694	0.0132	1.0000	1.0000	0.7039
UBQLNL	NM_145053	2.22539132	2.231545375	2.225707609	2.222221851	A	A	A	A	2.180216982	2.184800911	2.170501783	2.208774189	A	A	A	A	2.142939833	2.147120805	2.140788857	2.14288078	A	A	A	A	0.9224	0.9999	1.0000	0.9996	0.8680	0.2238	1.0000	1.0000	1.0000
UBR1	NM_174916	5.656888984	5.55805371	5.733898535	5.955718912	P	P	P	P	6.22114674	6.378053453	6.341753734	6.236912097	P	P	P	P	6.456422744	6.552717459	6.508284425	6.446811989	P	P	P	P	0.8753	0.9999	0.1230	0.3113	0.3721	0.8600	0.3133	0.6859	1.0000
UBR2	NM_015255	7.026289179	8.054202656	8.11266249	7.689061922	P	P	P	P	3.878466926	3.749501708	3.529282383	3.216711518	P	P	P	P	9.403027243	9.329130585	9.358425363	9.444838174	P	P	P	P	0.0005	0.0002	0.0074	0.9996	0.3049	0.0268	0.7722	1.0000	0.9291
UBR3	NM_172070	8.634038744	8.882888983	8.974774049	8.679824617	P	P	P	P	8.061222063	8.103513129	8.063938522	7.974274455	P	P	P	P	9.044656803	9.077685242	9.045913531	8.960116416	P	P	P	P	0.1931	0.0466	1.0000	0.9996	0.9933	0.5796	1.0000	1.0000	0.9440
UBR4	NM_020765	9.383472157	9.753478019	10.18392498	10.23228555	P	P	P	P	10.47228557	10.47922307	10.44973702	10.62675082	P	P	P	P	11.77094707	11.88058464	11.97367499	12.14232908	P	P	P	P	0.0107	0.0000	0.0000	0.9996	0.9078	0.1861	0.6709	0.1025	0.0045
UBR5	NM_015902	8.595023957	9.03629945	9.054826506	8.734786976	P	P	P	P	8.288216732	8.585135809	8.83104498	9.002687779	P	P	P	P	9.302240961	9.098259811	9.245927132	9.224871363	P	P	P	P	0.0009	0.0004	0.2561	0.0102	0.0001	0.0000	0.2202	1.0000	0.7571
UBTD1	NM_024954	5.232422572	5.004598585	5.096022581	5.188400827	P	P	P	P	5.609836541	5.63466013	5.723600326	5.783115754	P	P	P	P	6.468621618	6.418722709	6.373361106	6.161577745	P	P	P	P	0.6403	0.9703	1.0000	0.9996	0.1993	0.0328	1.0000	0.7782	0.0310
UBTD2	NM_152277	8.478573774	8.319020592	8.521671992	8.523215876	P	P	P	P	7.652855269	7.844454003	8.078315907	8.035339674	P	P	P	P	9.518192159	9.72932403	9.772922625	9.798383107	P	P	P	P	0.3586	0.9999	0.9904	0.0672	0.0004	0.0005	0.2822	0.0989	0.0513
UBTF	NM_014233	6.999923494	7.015755788	6.944911489	6.561436665	P	P	P	P	6.326844218	6.137202267	6.054220767	5.859903483	P	P	P	P	7.018690198	7.02907017	7.047629217	6.956845499	P	P	P	P	0.9742	0.9381	0.0003	0.4215	0.1032	0.0063	1.0000	1.0000	0.7714
UBXD1	NM_025241	5.025258407	5.035514918	5.129301179	5.305852232	A	P	A	P	8.230184559	8.115422967	8.399186134	8.680143114	P	P	P	P	7.994616176	7.853714817	8.070885246	7.996547034	P	P	P	P	0.9996	0.9999	0.3311	0.7477	0.3194	0.0052	0.9332	1.0000	1.0000
UBXD2	NM_014607	9.994472143	10.01836646	10.10964116	10.15542502	P	P	P	P	9.670956311	9.651498132	9.861750215	9.816525129	P	P	P	P	10.24705358	10.15736569	10.26555405	10.32011531	P	P	P	P	0.9226	0.1230	0.0240	0.9996	0.0034	0.0097	0.8723	1.0000	0.7717
UBXD3	NM_152376	2.268068626	2.274498089	2.266986585	2.25989737	A	A	A	A	2.224579185	2.230756363	2.214942001	2.249998979	A	A	A	A	2.433551092	2.440812779	2.433668067	2.433586516	A	A	A	A	0.9214	0.9999	0.9127	0.9996	0.8711	0.2763	1.0000	1.0000	1.0000
UBXD4	NM_181713	8.907502658	8.741616914	8.851882282	8.891116302	P	P	P	P	8.503079558	8.728888602	8.632346717	8.528789862	P	P	P	P	10.46380245	10.36780309	10.26285458	10.30583648	P	P	P	P	0.8260	0.9999	1.0000	0.6664	0.8400	0.8990	1.0000	0.8470	0.9039
UBXD5	NM_145345	5.580524478	5.84953597	5.467665316	5.474556163	A	A	A	A	5.952835231	5.941092958	5.683434283	5.862735751	A	A	A	A	6.194214955	6.204530229	6.17572551	6.202331607	A	A	A	A	0.3620	0.9700	0.8999	0.9996	0.1791	0.5413	1.0000	1.0000	1.0000
UBXD6	NM_005671	7.989337125	7.926878063	8.117779733	8.189688585	P	P	P	P	7.72064011	7.713864493	7.666285903	7.555945834	P	P	P	P	5.61666586	5.610873664	5.730297935	5.574841826	A	A	A	A	0.9126	0.5579	0.2054	0.9996	0.4551	0.0074	1.0000	1.0000	1.0000
UBXD7	NM_015562	7.0490387	7.803403175	7.64279096	7.889408912	P	P	P	P	8.27498355	8.11345925	8.578700128	8.561370437	P	P	P	P	9.401652937	9.345088806	9.367312872	9.524475771	P	P	P	P	0.0038	0.0130	0.0009	0.5249	0.0609	0.0534	1.0000	1.0000	0.5698
UBXD8	NM_014613	7.632522604	7.183836026	7.483962868	7.580194378	P	P	P	P	8.524655044	8.424943496	8.47611205	8.407389148	P	P	P	P	9.244408148	9.123257966	9.058793886	8.994134807	P	P	P	P	0.0013	0.2771	0.9128	0.8228	0.8732	0.3342	0.2023	0.0220	0.0032
UCHL1	NM_004181	2.099787965	2.101620723	2.096409701	2.098862529	A	A	A	A	13.05408541	13.07755931	12.97803105	13.08862472	P	P	P	P	1.99182465	1.994905163	1.992429034	1.989853088	A	A	A	A	0.9956	0.9999	1.0000	0.9996	0.4029	0.5581	1.0000	1.0000	1.0000
UCHL3	NM_006002	9.085608229	9.014543797	9.098584279	9.104018602	P	P	P	P	10.5931018	10.42971468	10.42494441	10.41805941	P	P	P	P	10.80396335	10.7101704	10.64018107	10.62616914	P	P	P	P	0.3231	0.9999	0.9950	0.0066	0.0025	0.0012	0.7017	0.1400	0.0810
UCHL5	NM_015984	9.260982431	8.748778424	8.809428195	8.740193516	P	P	P	P	7.808658714	7.727560826	7.581932802	7.08517919	P	P	P	P	9.428681551	9.303928583	9.294500415	9.145929891	P	P	P	P	0.0013	0.0023	0.0006	0.9996	0.2743	0.0012	0.8149	0.6009	0.0729
UCHL5IP	NM_017518	5.91930448	5.676534846	5.708599184	5.164271132	P	P	P	P	5.068976799	4.914566173	4.631581102	4.475771227	P	P	P	P	6.475205063	6.494941952	6.389844339	6.409814862	P	P	P	P	0.3209	0.3984	0.0006	0.6662	0.0238	0.0030	1.0000	0.4170	0.5396
UCK1	NM_031432	4.121096036	3.389816221	2.94751635	2.868185527	P	P	P	P	6.156947221	5.950825156	5.970041561	5.849648204	P	P	P	P	6.720742173	6.69449019	6.694880426	6.561915727	P	P	P	P	0.0030	0.0000	0.0000	0.3458	0.2877	0.0441	1.0000	1.0000	0.3267
UCK2	NM_012474	9.123227386	9.322705702	9.639941123	9.367464702	P	P	P	P	8.642649519	8.327339626	7.807367513	7.349046981	P	P	P	P	9.018506844	8.77241179	8.802517871	8.804488289	P	P	P	P	0.1949	0.0007	0.0733	0.1903	0.0009	0.0000	0.1583	0.1494	0.1169
UCKL1	NM_017859	8.878916559	8.736072211	9.196299721	9.074129112	P	P	P	P	7.151921806	6.999349698	6.980282927	7.0272314	P	P	P	P	9.404313664	9.421419008	9.353159687	9.31949028	P	P	P	P	0.6112	0.0686	0.3164	0.1354	0.0473	0.1036	1.0000	1.0000	0.7991
UCN	NM_003353	2.444234236	2.448507982	2.489561918	2.443811435	A	A	A	A	2.280482475	2.315134051	2.269336935	2.297600167	A	A	A	A	2.991444163	3.000569249	3.005125234	2.998766365	A	A	A	A	0.9849	0.3144	1.0000	0.6813	0.8840	0.5923	1.0000	1.0000	1.0000
UCN2	NM_033199	2.749072707	2.797449255	2.726602526	2.831568834	A	A	A	A	3.476116796	4.227811249	4.477868038	5.857802387	A	A	P	P	4.070392152	4.288354239	5.048331935	5.210954299	A	A	P	P	0.8725	0.9999	0.4957	0.1222	0.0189	0.0001	1.0000	0.1657	0.0746
UCN3	NM_053049	2.418095311	2.422457335	2.422462135	2.416837408	A	A	A	A	2.072655199	2.059259543	2.061215867	2.076671009	A	A	A	A	1.981357528	1.982558392	1.97757174	1.978748688	A	A	A	A	0.9996	0.9999	1.0000	0.9996	0.8561	0.8494	1.0000	1.0000	1.0000
UCP1	NM_021833	2.203074412	2.205218543	2.203035794	2.203487521	A	A	A	A	2.161922675	2.166747133	2.156497033	2.179938801	A	A	A	A	2.127441354	2.129182157	2.123482549	2.128538331	A	A	A	A	0.9747	0.9999	1.0000	0.9996	0.8840	0.2968	1.0000	1.0000	1.0000
UCP2	NM_003355	5.78313634	5.663171994	5.320420708	5.106997155	P	P	P	P	7.803238604	7.71946888	7.805877481	7.789159621	P	P	P	P	10.94242754	10.69303937	10.54768608	10.41844602	P	P	P	P	0.9000	0.0738	0.0085	0.8680	0.9906	0.8894	0.0236	0.0010	0.0001
UCP3	NM_003356	2.634710542	2.653882304	2.639918968	2.658733483	A	A	A	A	2.639719847	2.642807427	2.627884194	2.701018432	A	A	A	A	2.730590203	2.700631156	2.691942382	2.69609541	A	A	A	A	0.8616	0.9999	0.6908	0.9996	0.8802	0.1085	0.9587	0.6108	0.6025
UCRC	NM_013387	6.25247169	5.663580526	5.249520699	5.196252167	P	P	P	P	5.836670801	5.792090435	5.714713865	5.827413371	P	P	P	P	6.999783819	7.112608607	6.905377147	6.864002552	P	P	P	P	0.0007	0.0000	0.0000	0.9996	0.6173	0.9418	0.8259	0.8159	0.4328
UEVLD	NM_018314	4.258595113	3.25830098	3.067620219	3.633399624	P	P	P	P	7.996984782	7.992003325	7.984357455	7.926019467	P	P	P	P	6.714069882	6.737925205	6.691277219	6.544672809	P	P	P	P	0.0015	0.0002	0.0214	0.9996	0.9441	0.4648	1.0000	1.0000	0.7077
UFC1	NM_016406	10.17285931	10.21489467	9.936053934	10.09542474	P	P	P	P	11.58413285	11.49462484	11.55939755	11.56089854	P	P	P	P	11.45271316	11.62151758	11.54035425	11.59068788	P	P	P	P	0.9284	0.1253	0.8422	0.1848	0.8475	0.5772	0.2502	0.6507	0.2278
UFD1L	NM_005659	10.10931658	9.278072454	9.024406444	8.834939623	P	P	P	P	11.80549084	11.76722796	11.62567278	11.61347915	P	P	P	P	11.13839681	11.14736755	10.91934497	10.90244961	P	P	P	P	0.0000	0.0000	0.0000	0.9996	0.0708	0.0382	1.0000	0.0455	0.0234
UFM1	NM_016617	6.822788852	6.673065172	6.848389842	7.108076385	P	P	P	P	9.652891579	9.573990263	9.754127587	9.55439659	P	P	P	P	8.805376688	8.850283422	8.86570294	8.895950801	P	P	P	P	0.2004	0.9999	0.0065	0.6612	0.3293	0.2222	1.0000	0.8787	0.4615
UFSP1	NM_001015072	2.23095175	2.186704382	2.239638327	2.187809366	A	A	A	A	2.071179102	2.071804278	2.066414953	2.084252705	A	A	A	A	1.880323102	1.883007404	1.879170507	1.876385013	A	A	A	A	0.5757	0.9999	0.5394	0.9996	0.8877	0.4051	1.0000	1.0000	1.0000
UFSP2	NM_018359	7.204445396	7.435985245	7.640817034	7.899114605	P	P	P	P	8.979276778	8.901339821	9.060764038	9.102415837	P	P	P	P	9.063683197	9.245663756	9.169537656	9.081032884	P	P	P	P	0.1364	0.0036	0.0001	0.4120	0.2519	0.0492	0.9710	1.0000	1.0000
UGCG	NM_003358	6.695762082	7.131156632	7.22950937	7.2707952	P	P	P	P	10.90185551	11.38892253	11.83273165	11.93955376	P	P	P	P	12.46264449	12.61914122	12.78895945	12.923669	P	P	P	P	0.0224	0.0046	0.0023	0.0031	0.0000	0.0000	0.3692	0.0149	0.0016
UGCGL1	NM_020120	7.88963925	8.066489996	7.894413949	8.038988988	P	P	P	P	6.150428412	6.401885366	6.531843385	6.468999417	P	P	P	P	6.08176472	6.017470648	6.008382177	6.035835922	P	P	P	P	0.4409	0.9999	0.5166	0.3366	0.0569	0.0769	1.0000	0.7547	0.9739
UGCGL2	NM_020121	5.606179837	5.648607711	5.599173732	5.737181434	P	P	P	P	7.621559108	7.681725672	7.680216838	7.473430989	P	P	P	P	5.514696781	5.600972116	5.493792353	5.477358994	P	P	P	P	0.9375	0.9999	0.6047	0.9901	0.8343	0.1626	1.0000	1.0000	1.0000
UGDH	NM_003359	11.34954982	11.07726706	11.03576832	10.84913696	P	P	P	P	8.680141846	8.562894361	8.591200553	8.483014599	P	P	P	P	8.03220178	8.058677237	8.278153885	8.071612555	P	P	P	P	0.0018	0.0004	0.0000	0.7618	0.7870	0.1630	1.0000	0.1508	1.0000
UGP2	NM_006759	10.76216563	11.31001255	11.45405292	11.46053014	P	P	P	P	11.42394557	11.7814405	11.94993177	11.97640928	P	P	P	P	11.69050438	11.73059067	11.809874	11.79681799	P	P	P	P	0.0000	0.0000	0.0000	0.0020	0.0001	0.0000	0.7720	0.0238	0.0294
UGT1A1	NM_000463	3.770415856	3.773885935	3.768149945	3.744394937	P	P	P	P	2.447270373	2.447928253	2.43573394	2.471056877	A	A	A	A	2.669912085	2.67436797	2.664807782	2.678567573	P	P	P	P	0.9996	0.9999	1.0000	0.9996	0.8523	0.2936	1.0000	1.0000	1.0000
UGT1A10	NM_019075	3.770415856	3.773885935	3.768149945	3.744394937	P	P	P	P	2.447270373	2.447928253	2.43573394	2.471056877	A	A	A	A	2.669912085	2.67436797	2.664807782	2.678567573	P	P	P	P	0.9996	0.9999	1.0000	0.9996	0.8523	0.2936	1.0000	1.0000	1.0000
UGT1A3	NM_019093	3.770415856	3.773885935	3.768149945	3.744394937	P	P	P	P	2.447270373	2.447928253	2.43573394	2.471056877	A	A	A	A	2.669912085	2.67436797	2.664807782	2.678567573	P	P	P	P	0.9996	0.9999	1.0000	0.9996	0.8523	0.2936	1.0000	1.0000	1.0000
UGT1A4	NM_007120	3.770415856	3.773885935	3.768149945	3.744394937	P	P	P	P	2.447270373	2.447928253	2.43573394	2.471056877	A	A	A	A	2.669912085	2.67436797	2.664807782	2.678567573	P	P	P	P	0.9996	0.9999	1.0000	0.9996	0.8523	0.2936	1.0000	1.0000	1.0000
UGT1A5	NM_019078	3.770415856	3.773885935	3.768149945	3.744394937	P	P	P	P	2.447270373	2.447928253	2.43573394	2.471056877	A	A	A	A	2.669912085	2.67436797	2.664807782	2.678567573	P	P	P	P	0.9996	0.9999	1.0000	0.9996	0.8523	0.2936	1.0000	1.0000	1.0000
UGT1A6	NM_001072	3.242473961	3.245466313	3.24032812	3.230425225	P	P	P	P	2.44648062	2.448507798	2.43503004	2.47264024	A	P	P	A	2.598512058	2.601194146	2.593277912	2.604895523	P	P	P	P	0.9996	0.9999	1.0000	0.9996	0.8523	0.2515	1.0000	1.0000	1.0000
UGT1A7	NM_019077	3.770415856	3.773885935	3.768149945	3.744394937	P	P	P	P	2.447270373	2.447928253	2.43573394	2.471056877	A	A	A	A	2.669912085	2.67436797	2.664807782	2.678567573	P	P	P	P	0.9996	0.9999	1.0000	0.9996	0.8523	0.2936	1.0000	1.0000	1.0000
UGT1A8	NM_019076	3.385830235	3.386525755	3.383511575	3.37089171	P	P	P	P	2.449291203	2.449629899	2.4376821	2.470419846	A	A	A	A	2.61666647	2.621312632	2.611245601	2.624179862	P	P	P	P	0.9996	0.9999	1.0000	0.9996	0.8456	0.3165	1.0000	1.0000	1.0000
UGT1A9	NM_021027	3.770415856	3.773885935	3.768149945	3.744394937	P	P	P	P	2.447270373	2.447928253	2.43573394	2.471056877	A	A	A	A	2.669912085	2.67436797	2.664807782	2.678567573	P	P	P	P	0.9996	0.9999	1.0000	0.9996	0.8523	0.2936	1.0000	1.0000	1.0000
UGT2A1	NM_006798	2.362055492	2.358282454	2.33990178	2.320280125	A	A	A	A	2.27038068	2.280754118	2.254866838	2.367721813	P	A	A	A	2.310700226	2.308817056	2.32019343	2.506390956	P	P	P	P	0.9996	0.9999	1.0000	0.9996	0.8749	0.0410	1.0000	1.0000	0.6052
UGT2A3	NM_024743	8.356814496	7.719460843	8.026332438	7.690669891	P	P	P	P	2.842142893	2.857821815	2.826437355	2.930737494	A	A	A	A	2.878845718	2.902093223	2.891061372	2.903156176	A	A	A	A	0.0410	0.3488	0.0231	0.9996	0.8681	0.0345	1.0000	1.0000	1.0000
